,source,target
1348,1213,94
1349,1213,122
1350,1213,126
1351,1214,219
1352,1215,161
1353,1216,94
1354,1217,89
1355,1217,56
1356,1217,128
1357,1217,88
1358,1223,122
1359,1223,126
1360,1223,67
1361,1223,131
1362,1223,94
1363,1228,167
1364,1228,259
1365,1229,94
1366,1231,124
1367,1232,94
1368,1232,67
1369,1232,131
1370,1233,94
1371,1233,67
1372,1233,131
1373,1233,49
1374,1233,122
1375,1233,126
1376,1234,123
1377,1237,94
1378,1237,107
1379,1237,195
1380,1237,106
1381,1237,197
1382,1238,94
1383,1238,110
1384,1238,200
1385,1239,94
1386,1239,122
1387,1239,126
1388,1241,96
1389,1242,94
1390,1250,119
1391,1250,199
1392,1252,142
1393,1253,89
1394,1253,94
1395,1254,67
1396,1254,131
1397,1255,225
1398,1255,222
1399,1255,234
1400,1257,94
1401,1261,122
1402,1261,126
1403,1261,123
1404,1261,157
1405,1264,142
1406,1265,94
1407,1265,67
1408,1265,131
1409,1265,161
1410,1265,127
1411,1265,122
1412,1265,126
1413,1265,240
1414,1268,96
1415,1269,83
1416,1273,94
1417,1273,67
1418,1273,131
1419,1273,107
1420,1273,195
1421,1273,96
1422,1273,106
1423,1273,197
1424,1276,183
1425,1277,67
1426,1277,131
1427,1279,67
1428,1279,131
1429,1282,94
1430,1282,89
1431,1286,94
1432,1288,94
1433,1291,94
1434,1300,157
1435,1303,94
1436,1303,161
1437,1303,183
1438,1309,94
1439,1309,107
1440,1309,195
1441,1315,107
1442,1315,195
1443,1316,107
1444,1316,195
1445,1316,94
1446,1316,67
1447,1316,131
1448,1317,167
1449,1317,259
1450,1318,67
1451,1318,131
1452,1318,94
1453,1318,121
1454,1319,161
1455,1319,94
1456,1319,121
1457,1319,123
1458,1320,67
1459,1320,131
1460,1320,122
1461,1320,126
1462,1322,94
1463,1322,67
1464,1322,131
1465,1323,94
1466,1327,94
1467,1327,67
1468,1327,131
1469,1327,110
1470,1327,200
1471,1327,119
1472,1327,199
1473,1327,116
1474,1327,205
1475,1328,124
1476,1328,94
1477,1337,94
1478,1337,183
1479,1338,67
1480,1338,131
1481,1344,67
1482,1344,131
1483,1344,102
1484,1345,94
1485,1345,107
1486,1345,195
1487,1346,94
1488,1348,67
1489,1348,131
1490,1352,94
1491,1352,122
1492,1352,126
1493,1352,119
1494,1352,199
1495,1352,67
1496,1352,131
1497,1352,121
1498,1353,94
1499,1353,67
1500,1353,131
1501,1355,94
1502,1356,94
1503,1357,94
1504,1358,94
1505,1358,107
1506,1358,195
1507,1358,67
1508,1358,131
1509,1358,106
1510,1358,197
1511,1366,94
1512,1367,94
1513,1367,67
1514,1367,131
1515,1367,110
1516,1367,200
1517,1367,116
1518,1367,205
1519,1370,127
1520,1370,94
1521,1370,135
1522,1370,229
1523,1375,94
1524,1375,67
1525,1375,131
1526,1375,161
1527,1375,107
1528,1375,195
1529,1375,183
1530,1377,94
1531,1377,67
1532,1377,131
1533,1377,52
1534,1378,94
1535,1379,94
1536,1379,121
1537,1379,104
1538,1380,94
1539,1380,107
1540,1380,195
1541,1382,94
1542,1382,67
1543,1382,131
1544,1383,183
1545,1384,94
1546,1384,107
1547,1384,195
1548,1386,122
1549,1386,126
1550,1386,94
1551,1387,94
1552,1390,94
1553,1390,67
1554,1390,131
1555,1390,142
1556,1393,94
1557,1393,67
1558,1393,131
1559,1393,161
1560,1393,71
1561,1394,107
1562,1394,195
1563,1394,106
1564,1394,197
1565,1396,107
1566,1396,195
1567,1397,161
1568,1397,94
1569,1400,94
1570,1402,94
1571,1402,110
1572,1402,200
1573,1406,135
1574,1406,229
1575,1406,94
1576,1406,124
1577,1407,67
1578,1407,131
1579,1407,57
1580,1407,163
1581,1411,94
1582,1411,107
1583,1411,195
1584,1412,94
1585,1412,96
1586,1414,119
1587,1414,199
1588,1414,107
1589,1414,195
1590,1414,105
1591,1414,96
1592,1417,123
1593,1423,94
1594,1424,103
1595,1424,127
1596,1432,94
1597,1433,60
